subset_id,dim_reduce_alg,dim_reduce_param,transformed,clustering_alg,clustering_param,mutual_info_score,silhouette_score
10,ICA,10,False,Agglomerative,2,0.003942092713392044,0.24776337707544252
10,ICA,10,False,Agglomerative,3,0.010583063819940876,0.21073075619885967
10,ICA,10,False,Agglomerative,4,0.013917011485806057,0.07084350669826316
10,ICA,10,False,Agglomerative,5,0.01634844171070447,0.06497839295278993
10,ICA,10,False,Agglomerative,6,0.017737462281154328,0.0684668912125563
10,ICA,10,False,Agglomerative,7,0.016096313034813133,0.05157928077066201
10,ICA,10,False,Agglomerative,8,0.01523520243905992,0.05004203958711835
10,ICA,10,False,DBSCAN,0.5,0.02122702722412649,-0.3805061649344501
10,ICA,10,False,DBSCAN,10,0.0,
10,ICA,10,False,DBSCAN,4,0.0010389963783085947,0.5195287637643052
10,ICA,10,False,GaussianMixture,2,0.03855618830867662,0.011199309681303254
10,ICA,10,False,GaussianMixture,3,0.011386569963782464,-0.0032908317492347833
10,ICA,10,False,GaussianMixture,4,0.010790873111543886,0.019559319314493787
10,ICA,10,False,GaussianMixture,5,0.018072712390260384,0.01561885662955387
10,ICA,10,False,GaussianMixture,6,0.018998250749727788,-0.023890868928533933
10,ICA,10,False,GaussianMixture,7,0.02075747576184525,-0.004792239343617752
10,ICA,10,False,GaussianMixture,8,0.02223739157514643,0.000448141551067285
10,ICA,10,False,KMeans,2,0.038221868301532555,0.08637534940337298
10,ICA,10,False,KMeans,3,0.03664362445360846,0.08040394291051361
10,ICA,10,False,KMeans,4,0.030433334888392186,0.09172229175185397
10,ICA,10,False,KMeans,5,0.04348845226487939,0.08336728084536192
10,ICA,10,False,KMeans,6,0.030941137011476248,0.0940645867465123
10,ICA,10,False,KMeans,7,0.027635094580777925,0.0892758910778414
10,ICA,10,False,KMeans,8,0.02307635531191933,0.09454743970009918
10,ICA,10,True,Agglomerative,2,0.010875503124709071,0.44155695967016506
10,ICA,10,True,Agglomerative,3,0.019511942150615795,0.4492537300858412
10,ICA,10,True,Agglomerative,4,0.018178661012204313,0.39271616826043465
10,ICA,10,True,Agglomerative,5,0.01567344908805483,0.4194528235651619
10,ICA,10,True,Agglomerative,6,0.015361582837722862,0.4096897444271989
10,ICA,10,True,Agglomerative,7,0.022687854992757817,0.4124441421800625
10,ICA,10,True,Agglomerative,8,0.018933322744610577,0.3455938500122985
10,ICA,10,True,DBSCAN,0.5,0.022136178015244846,-0.11737189569353786
10,ICA,10,True,DBSCAN,10,0.0,
10,ICA,10,True,DBSCAN,4,0.015561338840909029,0.4235390411724379
10,ICA,10,True,GaussianMixture,2,0.031019153275232973,0.3218313621840425
10,ICA,10,True,GaussianMixture,3,0.020150704618009527,0.23361823264776263
10,ICA,10,True,GaussianMixture,4,0.02420592811670296,0.3541415769797417
10,ICA,10,True,GaussianMixture,5,0.024603873726925806,0.358629197153413
10,ICA,10,True,GaussianMixture,6,0.02640061935886286,0.253592900401893
10,ICA,10,True,GaussianMixture,7,0.025976739268466286,0.3002954478070877
10,ICA,10,True,GaussianMixture,8,0.02329289808684557,0.2862864470957119
10,ICA,10,True,KMeans,2,0.031019153275232973,0.3218313621840425
10,ICA,10,True,KMeans,3,0.020150704618009527,0.23361823264776263
10,ICA,10,True,KMeans,4,0.03150246736613247,0.22524017036247365
10,ICA,10,True,KMeans,5,0.030962646759135726,0.24194003925908242
10,ICA,10,True,KMeans,6,0.03097804940994038,0.26700014282521517
10,ICA,10,True,KMeans,7,0.03959522894636017,0.20496413412050501
10,ICA,10,True,KMeans,8,0.030812866175092084,0.2203955367767726
10,ICA,15,False,Agglomerative,2,0.003668267551012215,0.20479777019505346
10,ICA,15,False,Agglomerative,3,0.002329848624784034,0.10110855136801206
10,ICA,15,False,Agglomerative,4,0.021887666107425662,0.1097087560584652
10,ICA,15,False,Agglomerative,5,0.02030854127635044,0.12394944559291503
10,ICA,15,False,Agglomerative,6,0.018889692196348586,0.10501680966306501
10,ICA,15,False,Agglomerative,7,0.016281763655517034,0.07444679036187933
10,ICA,15,False,Agglomerative,8,0.018105932881162613,0.06459101041246944
10,ICA,15,False,DBSCAN,0.5,0.020750001047302718,-0.34809893156775384
10,ICA,15,False,DBSCAN,10,0.0,
10,ICA,15,False,DBSCAN,4,0.00010925064760430753,0.36243907388752494
10,ICA,15,False,GaussianMixture,2,0.03880949523780005,0.07990620092069842
10,ICA,15,False,GaussianMixture,3,0.007979921313060455,0.12231267774959449
10,ICA,15,False,GaussianMixture,4,0.015833815712800757,0.07938711604613138
10,ICA,15,False,GaussianMixture,5,0.00726374413422886,0.07385074770266219
10,ICA,15,False,GaussianMixture,6,0.01284294457944211,0.05095542861149126
10,ICA,15,False,GaussianMixture,7,0.015942324667514964,0.05796828155174769
10,ICA,15,False,GaussianMixture,8,0.018614519385317954,0.01245841206359736
10,ICA,15,False,KMeans,2,0.03880949523780005,0.07990620092069842
10,ICA,15,False,KMeans,3,0.007979921313060455,0.12231267774959449
10,ICA,15,False,KMeans,4,0.008820333685484147,0.11380974968708787
10,ICA,15,False,KMeans,5,0.00672088958321819,0.083652006872848
10,ICA,15,False,KMeans,6,0.00874956062787258,0.055371178404265364
10,ICA,15,False,KMeans,7,0.015124937068053018,0.0721962677443573
10,ICA,15,False,KMeans,8,0.022818991826542855,0.051826075175038656
10,ICA,15,True,Agglomerative,2,0.010836613724701767,0.3250495156233561
10,ICA,15,True,Agglomerative,3,0.01941654155473226,0.3323400633468757
10,ICA,15,True,Agglomerative,4,0.018103851944646195,0.2619360937223444
